,Average MSE
0,0.00037363931429960456
1,0.00037513479037443176
2,0.00036008341461032006
3,0.00033746335369263153
4,0.00033547952261869796
5,0.0003361514148612817
6,0.0003318734743515961
7,0.0003346093896349582
8,0.0003344302761737102
9,0.00033590643518740154
10,0.0003342651046599106
11,0.00033046895744822297
12,0.00033708198679960333
13,0.000333168526897983
14,0.0003367765069318314
15,0.00033571944489570643
16,0.00033193223741060746
17,0.0003341232283370725
18,0.00033704624123250443
19,0.00033624960148396593
20,0.00033772770378467004
21,0.0003380091141783244
22,0.00033666600453822565
23,0.00033723178906560253
24,0.0003361474149035833
25,0.00033434444170173566
26,0.00033609274881503853
27,0.0003340365037729498
28,0.0003351689071375101
29,0.00033650807138959255
30,0.0003354125074110925
31,0.00033636899934208486
32,0.0003360189930390334
33,0.00033578773218323477
34,0.0003357287023391109
35,0.0003349794593911308
36,0.0003366321658783515
37,0.0003378012018705097
38,0.00033572319383286714
39,0.0003369934468840559
40,0.00033569938265524496
41,0.0003354698686356035
42,0.00033676082360519405
43,0.00033500774164470687
44,0.0003384014368445302
45,0.0003343839477262615
46,0.00033565034270092536
47,0.00033449976156892564
48,0.00033612409606575966
49,0.00033631954162653227
50,0.0003353580092759027
51,0.00033279063791269436
52,0.00033547094790264964
53,0.0003349909723813956
54,0.00033610492513010587
55,0.00033387117279441253
56,0.0003369638955822059
57,0.0003370291839625376
58,0.00033539486018222914
59,0.00033418935345252976
60,0.00033431825977459084
61,0.0003345003509214924
62,0.00033557267609770253
63,0.00033563511836594745
64,0.0003363545844573916
65,0.00033701202361650456
66,0.00033544094670408714
67,0.00033708713090163656
68,0.00033178357625729404
69,0.00033715657142844674
70,0.00033695107413223013
71,0.00033151723376552883
72,0.0003317168654272488
73,0.0003356378025879773
74,0.0003357817974271408
75,0.00033621801412664354
76,0.0003347892209906907
77,0.0003368885033220674
78,0.00033783489440490183
79,0.0003366051520667194
80,0.00033348887275982025
81,0.0003361614568954489
82,0.00033712170140158076
83,0.0003375438257838444
84,0.0003362993502378231
85,0.00033569867931267555
86,0.0003368610790251599
87,0.00033515735655479756
88,0.00033552716740814503
89,0.00033802024214916554
90,0.0003325022868618059
91,0.00033556539589577977
92,0.0003359465178315683
93,0.0003381400359406446
94,0.00033598296431591734
95,0.0003371938049288777
96,0.0003343110044321899
97,0.0003358045735997924
98,0.000335111216675917
99,0.00033330796456236084
100,0.0003358599066511185
101,0.0003337168175979362
102,0.0003339337514868627
103,0.00033323097522952594
104,0.00033578248439880554
105,0.0003347423262312077
106,0.000335923813812163
107,0.0003349260247584122
108,0.0003348411579888004
109,0.00033506049900703755
